pr_number,number_of_comments,number_of_review_comments,number_of_commits,lines_of_code_changed,number_of_files_changed,number_of_reviewers,number_of_approvals,labels,time_to_first_response,number_of_assignees,review_duration,number_of_changes_requested,number_of_build_runs,number_of_build_failures,number_of_reviews_requested,number_of_revisions,issue_comments_text,issue_text,review_comments,repo,comments,comment_author_number,issue_text_wordiness,issue_comments_text_length,issue_comments_text_wordiness,code_changes_ratio,label_count,Issue Lifetime,day_of_week,weekday,Author PRs Opened,Open PRs at Open Date,Issues Closed in Last 2 Weeks,Issues Opened in Last 2 Weeks
7248,0,0,1,131,9,2,2,[],0.0,0,1.458611111111111,0,0,0,0,1,,resolves,,1,0,0,2,0,,14.555555555555555,0,1,2,1,20,3,41,41
7252,0,0,1,6,1,1,1,[],0.0,0,0.3472222222222222,0,0,0,0,1,,resolves,actually why we re dropping metrics passed here before think better to use here better to use it everywhere to pass time hmm why not just we adjust taking into account the trim left just above take the current metrics and adjust fromtime totime,1,0,0,2,0,,6.0,0,2,1,1,16,3,39,40
7241,0,4,3,182,13,3,1,[],0.0,0,17.48361111111111,0,0,0,0,3,lwinterberg thank you,update polish translation greetings gootector resolves direct link to the issue short description of the changes and the motivation to make the changes use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,,1,0,0,2,0,,14.0,0,2,5,0,5,5,45,42
7222,1,0,1,4,1,1,1,[],48.034444444444446,0,48.03472222222222,0,0,0,0,1,added two suggestions compilation errors should be fixed added two suggestions compilation errors should be fixed,resolves rather large pr but where no new functionality is written only things are moved around use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,incorrect comment message loudnessbase in lib math it seem to be only used by reveb effect suggest to move this file into as well that creates transitive dependency on for and comment in cmake file states no dependencies on wxwidgets in that case maybe could be good place for it pitchname cpp does math things and string things thought bit of math was more tolerable in string library than the other way round and the dependency on wxbase seems harmless to me isn it if it isn please let me know why otherwise just remove that part of the comment oh well compilation of pitchname cpp failed on mac because it doesn find internat part of lib strings couldn find out why but doing as you suggest fixes the build so be it the main point is to separate the sheep from the goats is more about domainless tools the is domain aware,1,1,1,110,3,3.0,4.0,0,4,1,1,13,3,38,35
7181,0,6,22,6500,50,2,1,[],0.0,1,186.3163888888889,0,0,0,1,22,,resolves,,1,0,0,104,15,inf,130.0,0,3,4,1,12,3,42,39
7217,0,0,1,35,2,1,1,[],0.0,0,90.8325,0,0,0,0,1,,resolves,,1,0,0,2,0,,17.5,0,2,0,1,14,3,41,41
7225,0,0,1,21,3,1,1,[],0.0,0,4.785,0,0,0,0,1,excellent looking forward to those qml components coming to life please address the buildin spelling mistake hurts little when reading excellent looking forward to those qml components coming to life please address the buildin spelling mistake hurts little when reading,don know yet how it will all work set parameters apply this is only defining the file structure for built in effects registering effects and view models view blanks open effect dialog was already done just slightly corrected,builtin with here too with why don you guys ever seem to use engine,1,0,0,2,0,,7.0,0,2,3,1,18,4,36,30
7141,0,5,4,530,23,2,2,[],0.0,0,261.68861111111113,0,0,0,0,4,,resolves,,1,0,0,42,45,inf,23.043478260869566,0,3,4,1,18,5,46,41
7219,0,0,1,222,6,1,1,[],0.0,0,63.780277777777776,0,0,0,0,1,,,suppose this property will also have to be read from are we planning to fix this typo sometime or is it already too late no need can you please explain why we need another class and why we cannot use abstracteffectmodel only yes that probably how it will be will fix in next pr it never too late these are two different classes with different goals we now have two types of views view models specific and general specific have specific ui and may have specific behavior of the view model they manipulate each parameter in their own way general provides generic ui and manipulates the parameter list abstract view model is what is common between specific and general,1,0,0,2,0,,37.0,0,3,0,1,20,2,40,30
7159,0,7,4,519,33,3,2,[],0.0,0,169.03416666666666,0,0,0,0,4,,resolves,better to use safe double comparison,1,0,0,0,0,,15.727272727272727,0,3,4,1,13,6,41,42
7220,0,1,1,39,1,1,1,[],0.0,0,67.01472222222222,0,0,0,0,1,,,,1,0,0,2,0,,39.0,0,2,4,1,5,4,44,40
7218,0,0,1,29836,8,1,1,[],0.0,0,19.219444444444445,0,0,0,0,1,,resolves,,1,0,0,0,0,,3729.5,0,2,4,1,11,4,42,38
7216,0,0,3,35,5,1,1,[],0.0,0,2.457222222222222,0,0,0,0,3,eism ve updated the pr addressing your comments and made sure that clips view and track header are in sync image,resolves short description of the changes and the motivation to make the changes use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,you can use both layout and width height at the same time if the element is stored in some layout and you want to set fixed size you need to use layout preferredwidth preferedheight properties should be higher than local properties value settings the code becomes more readable if separate properties value settings into groups using empty lines does the default height changed somewhere in the design see bottom of the description alex made here that actually reasonable question wasn aware were to get the exact numbers so was inspecting figma designs image now see that there is also separator which is not part of the track header thanks ll revert the change to default height actually it does make more sense to keep the separator as part of the track header as it should be drawn after the last track also so ll keep the default height as then maybe talk it through with alex this property is shared between track header and clip which height is by design it just two pixels but guess we want to have very fine tuned ui ps clips and separators are obviously separated so that make of upper separator clip separator which is exactly we need to make sure that track headers and tracks itself match in the ui oh missed that the same constant was used by the clip drawing there one issue with it though clips are separated by pixels now or one don know if the black ones are part of the separator image black border belongs to the clip it inner border so actually what we are left with is white separator with opacity but yeah you can make sure we match track header precisely anyway not that sure right now but ve got your point the constant does not take into account the separator would rather call it the bottom padding does it make sense at least the current designs have this line below the last track image think discussed that with alex someday and we decided to leave tracks separators with width but maybe let make sure dilsonspickles we need your expertise in the designs both track headers and tracks are with inset stroke that acts as separator the reason designed it like this was purely to make my life easier when making mock ups instead of faffing around with an additional separator component for both the track headers panel and tracks could just incorporate the separator into the component with that said don mind if the track headers and tracks are with separator component underneath each header all care about is there being gap between each track header and gap between each track in the canvas hope this helps will leave implementation decision in your capable hands,1,0,0,2,0,,7.0,0,3,2,1,16,4,44,37
7205,6,0,1,5,1,1,1,[],0.1661111111111111,1,26.29361111111111,0,0,0,0,1,,rebased by dandelionsprout onto instead of master,,1,1,2,88,412,206.0,5.0,0,3,1,1,4,1,43,33
7194,1,13,1,46,8,4,1,[],21.144444444444446,1,43.17888888888889,0,0,0,0,1,,,,1,1,1,100,22,22.0,5.75,0,2,3,1,23,5,43,38
7178,0,0,1,1618,1,1,1,[],0.0,0,78.32805555555555,0,0,0,0,1,,resolves if audacity is showing during launch ie on clean installation the splash screen never fade out and crashes the app if the dialog is clicked use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,,1,0,0,9,0,,1618.0,0,2,2,1,17,3,43,37
7210,0,0,2,597,6,1,1,[],0.0,0,17.970833333333335,0,0,0,0,2,thanks for this effort in clarifying the steps of cannot vow this is going to yield identical behavior to the previous version ignoring the todo but we can fine tune this if needed in due time please address commented spelling mistake before merging thanks for this effort in clarifying the steps of cannot vow this is going to yield identical behavior to the previous version ignoring the todo but we can fine tune this if needed in due time please address commented spelling mistake before merging,,no trailing,1,0,0,0,0,,99.5,0,2,3,1,22,5,42,37
7199,0,0,1,30,1,1,1,[],0.0,1,18.780833333333334,0,0,0,1,1,,resolves,you can use pushprojecthistorydeletestate method as reference,1,0,0,114,0,,30.0,0,1,2,1,17,3,42,36
7203,0,1,2,410,9,1,1,[],0.0,0,2.1927777777777777,0,0,0,0,2,,resolves,why did you decide to use separate object instead of just passing this oh did it the same way as it is done in trackslistmodel should fix that in both asked elnur in general he took this solution from musescore it made sense there but here and in trackslistmodel it doesn make sense you can just pass this fixed,1,0,0,0,89,inf,45.55555555555556,0,2,2,1,16,2,43,35
7191,0,1,1,61,5,1,1,[],0.0,0,0.8002777777777778,0,0,0,0,1,dozzzzer could you review and check this change please,resolves use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,,1,0,0,2,0,,12.2,0,2,2,1,18,4,41,38
7188,0,4,1,237,15,2,1,[],0.0,0,4.034722222222222,0,0,0,0,1,,,don we need to reset this flag somewhere you are right had reset but when discovered that there was no track in the delete and started to rework it lost it fixed,1,0,0,2,0,,15.8,0,2,1,1,21,2,41,34
7200,1,0,1,2,1,2,2,[],13.842222222222222,1,13.936944444444444,0,0,0,0,1,tested thanks the bug can still be reproducd lwinterberg could you please check add tell if it now behaves as expected if so might change implementation little bit to exclude possible unintended changeslooks good now looks good now,resolves paste behaviour change when pasting all clips and labels to the right from the beginning of selection intrval should move accordingly if sync lock disabled and clips can move option is enabled signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior qa please check operations that involve track copying with two types of selections one that ends inside wave clip second one that has ends with emptiness it may also be an empty wave interval copy paste cut paste split cut paste effect preview effect repeat,,1,1,1,88,9,9.0,2.0,0,3,3,1,7,6,41,33
7179,0,2,3,395,17,2,1,[],0.0,0,18.424722222222222,0,0,0,0,3,saintmatthieu applying fade out gives the result that fade would give actual img width alt image src expected img width alt image src,resolves use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior qa the following effects have been relocated please verify esp on mac and linux where haven done it myself that the effects are still discovered and made available in the effect menu fade in fade out reverse repair stereo to mono tracks mix stereo to mono invert also applying reverse with label track selected still reverses the labels,,1,0,0,0,0,,23.235294117647058,0,2,0,1,12,5,41,34
7146,2,0,2,71,10,2,2,[],13.719166666666666,0,114.64611111111111,0,0,0,0,2,,,,1,1,2,163,39,19.5,7.1,0,2,0,1,10,5,39,35
7168,1,0,8,1282,49,1,1,[],20.640833333333333,1,23.77138888888889,0,0,0,0,8,,resolves,,1,1,1,163,22,22.0,26.163265306122447,0,2,0,1,9,5,38,33
7170,0,0,1,2,1,2,2,[],0.0,0,18.505555555555556,0,0,0,0,1,,resolves,,1,0,0,0,0,,2.0,0,2,0,1,15,3,37,31
7166,0,0,2,307,4,1,1,[],0.0,0,2.2175,0,0,0,1,2,,resolves use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior qa none,,1,0,0,2,0,,76.75,0,1,0,1,11,4,35,32
7163,0,0,1,22,4,1,1,[],0.0,0,2.6866666666666665,0,0,0,0,1,kryksyh dmitry have just kicked off stereo recording of out shortly but plan to let this run and run including overnight if it fails to crash in the meantime fingers crossed crashed after image see new build is in progress petee petersampsonaudacity peter thanks for the update still failing to reproduce the issue on my machine so trying to catch the bug blindfolded see one interesting thing on your screenshot though you have the waveform zoomed out to fit the screen is this how you always run the tests see one interesting thing on your screenshot though you have the waveform zoomed out to fit the screen is this how you always run the tests kryksyh dmitry yes that is how have been running these tests lets me see hourly progress avoids to much re drawing of the waveform window nit how would normally record wher would be zoomed in lot more though ve got test running with your latest build mins so far and all is ok testing on with kryksyh lates brancg test build audacity win alpha have now sustained of recording without crash strs purge audacity settings folder launch the test build press record zoom out so hours is visible in the tracks pane audacity still recording press stop prss record recording continues on same track audacity still recording press stop press shift record to record on new track audacity still recording place cursor at in first track press record to record in top track press pause recording pauses press pause recording continues recording still continuing press stop exit audacity withot saving observe no crash so functionally this looks good to be pulled into beta for further testing guessing code review approval may be needed first petersampsonaudacity peter thanks again for the update this looks promising by the way do you experience severe slowdown when zooming out on hour recording by the way do you experience severe slowdown when zooming out on hour recording kryksyh dmitry no don notice any such slowdown or loss of response from audacit when zooming back and foirth from hours displayed to normal zoom nor when zooming back to hous displayed kryksyh dmitry ve just kicked off recording using your latest test branch build audacity win alpha planning to let this run overnight and will report back in the morning fngers crossed testing on with kryksyh latest branch build for this audacity win alpha got crash at image pr was updated with one more fix for another crash reason testing on with kryksyh latest branch test buid for this audacity win alpha hi dmitry last chance to test on for while and the most can let it run for is an hour or so as we are packing up in zurich returning to manchester and later today update ih later still recording nicely stopped the recording testing on with kryksyh latest branch test build for this audacity win alpha hi dmitry now back in manchester ve just downloaded your latest test branch for this om my laptop just set running recording which hopefully may run overnight testing on with kryksyh latest branch test build for this audacity win alpha hi dmitry this latest test build had the recording running for hours minutes with no crash chewed up most of the remaining free space on my ssd drive which thankfully got released properly once exited the project without saving looks from functional perspective good to go for pushing to beta kryksyh hi dmitry so now am testing the very latest beta build using my slower hd as the location for the temporary files the app of course remains on my ssd drive will report back later update crashed after audacity just froze after on my end petersampsonaudacity dozzzzer in way this is positive change waiting hours for crash is better than waiting hours thanks again any clues on how could reproduce it on my side kryksyh it still very inconsistent the same as before right now almost five hours in it still recording and doesn crash or freeze kryksyh dozzzzer agree with sergey there appears to be no consistency in the length of time tonight will try with my temporary files set on exfat usb clip drive just to see if slower drive collapses sooner just kicked it off audacity status bar says that it gives headroom for hours of stereo recording assuming that should still be using kryksyh latest branch for this from days ago kryksyh dozzzzer well really don entirely understand what happened there test is temporary files set on exfat usb clip drive running dmitry branch build temporary files set on exfat usb clip drive woke up to find black screen with message saying it had failed to boot as it couldn find boot device removed the usb clip drive turned off the machine and on again it booted fine as usual from my ssd drive reinserted the clip drive and launched audacity no recovery was offered examined the session data folder on the clip drive it had the wal and shm all tagged as unsaved see screenshot below examined the space left on the clip drive plenty left right clicked on the new project and manged to open it with audacity it showed that recording had stopped just after minutes image not sure that this test and its outcome has any real relevance to this issue as logged but it does re enforce for me the advice that we give in the manual about not using external clips and disks for live projects having said that have used clip drives many times in the past when was testing for disk space exhaustion when we introduced trap and error message for that guess that he morning black screen and boot failure could possibly have been caused by an overnight microsoft update which forced reboot one that failed probably because of the inserted clip drive subsequent test using the usb clip drive ran successfully for until it filled the disk the disk full was trapped and reported by audacity the project was salvageable by saving to bigger disk for fuller report see pr might be missing update in might be missing update in,resolves use deque instead of vector to prevent reallocations use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,in that case might not be necessary but won harm either is it necessary guess that should be enough to update in yes definitely overdid it here agree but let keep it for who knows where this code will end up eventually shouldn it be though no see no harm believe that having it as it is will be slightly better as it give us possibility to walk out of the if block and get the data from,1,0,0,2,0,,5.5,0,4,1,1,11,8,36,35
7165,0,0,1,115,21,1,1,[],0.0,1,0.08944444444444444,0,0,0,0,1,,resolves,,1,0,0,90,0,,5.476190476190476,0,3,3,1,13,4,34,28
7090,20,6,2,121,3,2,1,[],0.8380555555555556,1,314.1275,0,0,0,0,2,,from as is,,1,1,3,96,1207,402.3333333333333,40.333333333333336,0,3,4,1,19,3,33,33
7139,0,0,1,5,2,1,1,[],0.0,0,94.49638888888889,0,0,0,0,1,everything seems to be in order thanks everything seems to be in order thanks,,,1,0,0,2,0,,2.5,0,2,3,1,3,3,34,29
7149,0,0,1,555,33,1,1,[],0.0,0,66.80583333333334,0,0,0,0,1,,resolves,,1,0,0,5,0,,16.818181818181817,0,2,3,1,8,5,35,32
7140,0,0,1,31,2,1,1,[],0.0,0,22.749166666666667,0,0,0,0,1,,added global delete for trackedit which depending on the system state calls the correct action,,1,0,0,0,13,inf,15.5,0,3,2,1,6,3,34,26
7145,0,0,2,79,7,2,2,[],0.0,0,14.814166666666667,0,0,0,0,2,,resolves,,1,0,0,2,0,,11.285714285714286,0,1,3,1,14,5,33,31
7132,0,0,1,81,5,2,2,[],0.0,0,42.99888888888889,0,0,0,0,1,while testing this pr can still reproduce the sync failed error message after trying to retrieve the project that was previously uploaded using this exact bit build and then removed from the local directory however audacity doesn crash after the error message is this expected vsverchinsky please ignore my previous comment in this pr build cannot reproduce the sync failed problem anymore dozzzzer attempt to download project that was corrupted by app there should be no local copy should fail with the message you mentioned but before this patch it could also crash it crashes for me in debug version almost in cases btw did you try it on mac or windows ve tried both and it only gives me that error message and never crashes vsverchinsky,qa attempt to sync with remote project when there is no local copy could crash the app when something goes wrong should be more or less reproducible with remote project created in bit and clean directory signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,may be missing something but shouldn we call onfailure here attempt to call is ub because object itself is destroyed and from what see is invoked before that see thanks for the explanation,1,0,0,15,0,,16.2,0,2,1,1,6,1,31,27
7143,0,0,1,1,1,1,1,[],0.0,0,0.6475,0,0,0,0,1,,resolves to qa could you test any other multichannel formats to check if they are handled properly use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,,1,0,0,2,0,,1.0,0,3,2,1,14,4,33,27
7126,4,3,1,7,2,2,1,['crash / freeze'],17.196944444444444,1,42.2175,0,0,0,0,1,,resolves wait until the main window is visible before hiding the splash screen fade out splash screen instead of simply hiding it to qa please test this pr on all available platforms as it may behave differently depending on the system use to fill the checkboxes below like signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is sequence of easily reviewable commits each commit message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the pr recommended each commit compiles and runs on my machine without known undesirable changes of behavior,,1,1,2,114,132,66.0,3.5,0,2,2,1,15,4,32,28
7133,0,0,1,18,1,2,2,[],0.0,1,24.130277777777778,0,0,0,1,1,,resolves resolves,,1,0,0,104,0,,18.0,0,1,3,1,12,4,32,27
7135,0,0,1,125,2,1,1,[],0.0,1,22.384166666666665,0,0,0,1,1,,improves the situation with but with very fast zoom in and zoom out audacity still crashes,,1,0,0,129,0,,62.5,0,2,2,1,7,5,32,29
7138,0,0,2,15,4,1,1,[],0.0,0,0.3313888888888889,0,0,0,0,2,,resolves,,1,0,0,4,0,,3.75,0,2,2,1,5,2,30,25
